client_id,symbol,matched_quantity,excess_broker_quantity,pending_client_quantity,status,total_cost,slippage
CLIENT1203,INE665J01013,112.0,1050.0,0.0,excess,470269.1748,0
CLIENT1205,INE665J01013,294.0,868.0,0.0,excess,1182669.9548,0
CLIENT1211,INE665J01013,126.0,1036.0,0.0,excess,525069.2348,0
CLIENT1243,INE665J01013,98.0,1064.0,0.0,excess,415469.1148,0
CLIENT070,INE700A01033,4428.0,45456.0,0.0,excess,4905116.3868,0
CLIENT1174,INE700A01033,12300.0,37584.0,0.0,excess,13572505.365999999,0
CLIENT1176,INE700A01033,123.0,49761.0,0.0,excess,165138.0388,0
CLIENT1186,INE700A01033,246.0,49638.0,0.0,excess,300565.9916,0
CLIENT1188,INE700A01033,333.0,49551.0,0.0,excess,396356.4948,0
CLIENT1202,INE700A01033,4551.0,45333.0,0.0,excess,5040544.3396,0
CLIENT1203,INE700A01033,2583.0,47301.0,0.0,excess,2873697.0948,0
CLIENT1205,INE700A01033,18540.0,31344.0,0.0,excess,20442996.63,0
CLIENT1211,INE700A01033,2106.0,47778.0,0.0,excess,2348500.8876,0
CLIENT1218,INE700A01033,123.0,49761.0,0.0,excess,165138.0388,0
CLIENT1243,INE700A01033,4551.0,45333.0,0.0,excess,5040544.3396,0
CLIENT004,INE736A01011,2875.0,64625.0,0.0,excess,5445904.267466666,0
CLIENT006,INE736A01011,2600.0,64900.0,0.0,excess,4946042.524133333,0
CLIENT070,INE736A01011,3633.0,63867.0,0.0,excess,6823704.999999999,0
CLIENT1174,INE736A01011,8125.0,59375.0,0.0,excess,14988719.367466666,0
CLIENT1176,INE736A01011,3502.0,63998.0,0.0,excess,6585589.042266666,0
CLIENT1186,INE736A01011,3500.0,64000.0,0.0,excess,6581953.684133333,0
CLIENT1188,INE736A01011,3625.0,63875.0,0.0,excess,6809163.567466666,0
CLIENT1202,INE736A01011,6580.0,60920.0,0.0,excess,12180405.209466666,0
CLIENT1203,INE736A01011,11875.0,55625.0,0.0,excess,21805015.867466666,0
CLIENT1205,INE736A01011,5125.0,62375.0,0.0,excess,9535682.167466667,0
CLIENT1211,INE736A01011,6625.0,60875.0,0.0,excess,12262200.767466666,0
CLIENT1218,INE736A01011,4125.0,63375.0,0.0,excess,7718003.100799999,0
CLIENT1243,INE736A01011,3900.0,63600.0,0.0,excess,7309025.310799999,0
CLIENT1356,INE736A01011,1410.0,66090.0,0.0,excess,2783004.4348,0
CLIENT070,INE738I01010,60.0,620.0,0.0,excess,221383.9845,0
CLIENT1174,INE738I01010,180.0,500.0,0.0,excess,652981.8765,0
CLIENT1202,INE738I01010,60.0,620.0,0.0,excess,221383.9845,0
CLIENT1203,INE738I01010,70.0,610.0,0.0,excess,257350.4755,0
CLIENT1205,INE738I01010,180.0,500.0,0.0,excess,652981.8765,0
CLIENT1211,INE738I01010,70.0,610.0,0.0,excess,257350.4755,0
CLIENT1243,INE738I01010,60.0,620.0,0.0,excess,221383.9845,0
CLIENT006,INE818H01020,888.0,7320.0,0.0,excess,385355.3196,0
CLIENT070,INE818H01020,528.0,7680.0,0.0,excess,239166.4116,0
CLIENT1174,INE818H01020,2220.0,5988.0,0.0,excess,926254.2792000001,0
CLIENT1202,INE818H01020,228.0,7980.0,0.0,excess,117342.32160000001,0
CLIENT1203,INE818H01020,720.0,7488.0,0.0,excess,317133.8292,0
CLIENT1205,INE818H01020,2820.0,5388.0,0.0,excess,1169902.4592,0
CLIENT1211,INE818H01020,360.0,7848.0,0.0,excess,170944.92119999998,0
CLIENT1243,INE818H01020,444.0,7764.0,0.0,excess,205055.6664,0
CLIENT070,INE982J01020,2392.6380368098157,27607.361963190186,1377.3619631901843,excess,2361309.9055705518,0
CLIENT1174,INE982J01020,8926.38036809816,21073.61963190184,5138.61963190184,excess,8796244.411705522,0
CLIENT1188,INE982J01020,1288.3435582822087,28711.65644171779,741.6564417177913,excess,1273715.3411533744,0
CLIENT1202,INE982J01020,2300.6134969325153,27699.386503067486,1324.3865030674847,excess,2270677.0252024536,0
CLIENT1203,INE982J01020,1748.4662576687115,28251.53374233129,1006.5337423312885,excess,1726879.742993865,0
CLIENT1205,INE982J01020,7638.03680981595,22361.96319018405,4396.96319018405,excess,7527384.086552146,0
CLIENT1211,INE982J01020,3312.883435582822,26687.116564417178,1907.1165644171779,excess,3267638.7092515337,0
CLIENT1243,INE982J01020,2392.6380368098157,27607.361963190186,1377.3619631901843,excess,2361309.9055705518,0
